state,district,date,income_mean,income_median,year,poverty_absolute,poverty_relative,gini,piped_water,sanitation,electricity
Johor,Batu Pahat,2019-01-01,7392,6504,2019,2.9,9.0,0.295,100.0,100.0,100.0
Johor,Batu Pahat,2022-01-01,7419,6347,2022,5.1,19.4,0.338,100.0,100.0,100.0
Johor,Johor Bahru,2019-01-01,9315,7342,2019,3.3,12.8,0.388,100.0,100.0,100.0
Johor,Johor Bahru,2022-01-01,9869,8232,2022,3.7,10.4,0.359,100.0,100.0,100.0
Johor,Kluang,2019-01-01,5953,4933,2019,5.0,24.9,0.333,100.0,100.0,100.0
Johor,Kluang,2022-01-01,6461,5204,2022,7.2,27.4,0.354,99.7,100.0,100.0
Johor,Kota Tinggi,2019-01-01,6982,5475,2019,6.0,20.8,0.361,98.8,98.98,100.0
Johor,Kota Tinggi,2022-01-01,7529,6227,2022,5.0,17.0,0.343,100.0,99.85,100.0
Johor,Kulai,2019-01-01,8602,7536,2019,3.2,10.1,0.324,100.0,100.0,100.0
Johor,Kulai,2022-01-01,9177,7460,2022,0.4,7.4,0.337,100.0,100.0,100.0
Johor,Mersing,2019-01-01,4937,3896,2019,12.1,41.2,0.377,98.3,100.0,100.0
Johor,Mersing,2022-01-01,5426,4445,2022,12.7,33.1,0.339,83.5,100.0,100.0
Johor,Muar,2019-01-01,7540,5963,2019,4.1,14.8,0.353,99.5,100.0,100.0
Johor,Muar,2022-01-01,7572,5724,2022,6.1,23.5,0.394,100.0,100.0,100.0
Johor,Pontian,2019-01-01,6776,5585,2019,5.8,23.0,0.354,100.0,100.0,100.0
Johor,Pontian,2022-01-01,6913,5616,2022,5.1,21.1,0.361,100.0,100.0,100.0
Johor,Segamat,2019-01-01,6431,5595,2019,2.9,20.5,0.315,100.0,100.0,100.0
Johor,Segamat,2022-01-01,6578,5318,2022,7.4,23.3,0.34,98.7,100.0,100.0
Johor,Tangkak,2019-01-01,6659,5561,2019,3.7,16.7,0.322,99.8,100.0,100.0
Johor,Tangkak,2022-01-01,7093,5622,2022,6.9,28.2,0.371,100.0,100.0,100.0
Kedah,Baling,2019-01-01,4313,3583,2019,17.9,23.9,0.339,96.9,100.0,100.0
Kedah,Baling,2022-01-01,4263,3400,2022,14.4,19.7,0.347,95.1,100.0,100.0
Kedah,Bandar Baharu,2019-01-01,4959,4022,2019,7.2,12.6,0.324,100.0,100.0,100.0
Kedah,Bandar Baharu,2022-01-01,4565,3922,2022,3.9,14.5,0.291,100.0,100.0,100.0
Kedah,Kota Setar,2019-01-01,5773,4532,2019,6.4,8.1,0.352,100.0,100.0,100.0
Kedah,Kota Setar,2022-01-01,5959,4751,2022,5.1,9.5,0.348,100.0,100.0,100.0
Kedah,Kuala Muda,2019-01-01,5656,4247,2019,10.9,13.7,0.384,99.9,100.0,100.0
Kedah,Kuala Muda,2022-01-01,5624,4200,2022,13.8,15.7,0.404,99.9,99.92,100.0
Kedah,Kubang Pasu,2019-01-01,6291,4814,2019,4.8,5.5,0.361,99.8,100.0,100.0
Kedah,Kubang Pasu,2022-01-01,6221,5201,2022,3.3,6.1,0.325,99.9,100.0,100.0
Kedah,Kulim,2019-01-01,5476,4489,2019,9.9,10.5,0.331,100.0,100.0,100.0
Kedah,Kulim,2022-01-01,5636,4498,2022,11.4,11.3,0.358,100.0,100.0,100.0
Kedah,Langkawi,2019-01-01,6737,5905,2019,0.9,1.3,0.276,99.5,100.0,100.0
Kedah,Langkawi,2022-01-01,6087,5250,2022,5.7,5.5,0.302,99.8,100.0,100.0
Kedah,Padang Terap,2019-01-01,4781,3722,2019,9.1,5.3,0.307,100.0,100.0,100.0
Kedah,Padang Terap,2022-01-01,4858,3902,2022,8.9,11.3,0.323,100.0,100.0,100.0
Kedah,Pendang,2019-01-01,4680,3765,2019,8.1,9.5,0.312,100.0,100.0,100.0
Kedah,Pendang,2022-01-01,4986,3801,2022,7.3,12.5,0.349,100.0,100.0,100.0
Kedah,Pokok Sena,2019-01-01,5046,4246,2019,7.3,8.6,0.303,100.0,100.0,100.0
Kedah,Pokok Sena,2022-01-01,5494,4668,2022,7.2,9.2,0.31,100.0,100.0,100.0
Kedah,Sik,2019-01-01,4960,4094,2019,7.6,8.9,0.32,91.9,100.0,100.0
Kedah,Sik,2022-01-01,5053,3703,2022,4.0,9.4,0.333,100.0,100.0,100.0
Kedah,Yan,2019-01-01,4397,3502,2019,12.7,24.1,0.369,100.0,100.0,100.0
