state,district,date,gini
Johor,Batu Pahat,2019-01-01,0.295
Johor,Batu Pahat,2022-01-01,0.338
Johor,Johor Bahru,2019-01-01,0.388
Johor,Johor Bahru,2022-01-01,0.359
Johor,Kluang,2019-01-01,0.333
Johor,Kluang,2022-01-01,0.354
Johor,Kota Tinggi,2019-01-01,0.361
Johor,Kota Tinggi,2022-01-01,0.343
Johor,Kulai,2019-01-01,0.324
Johor,Kulai,2022-01-01,0.337
Johor,Mersing,2019-01-01,0.377
Johor,Mersing,2022-01-01,0.339
Johor,Muar,2019-01-01,0.353
Johor,Muar,2022-01-01,0.394
Johor,Pontian,2019-01-01,0.354
Johor,Pontian,2022-01-01,0.361
Johor,Segamat,2019-01-01,0.315
Johor,Segamat,2022-01-01,0.34
Johor,Tangkak,2019-01-01,0.322
Johor,Tangkak,2022-01-01,0.371
Kedah,Baling,2019-01-01,0.339
Kedah,Baling,2022-01-01,0.347
Kedah,Bandar Baharu,2019-01-01,0.324
Kedah,Bandar Baharu,2022-01-01,0.291
Kedah,Kota Setar,2019-01-01,0.352
Kedah,Kota Setar,2022-01-01,0.348
Kedah,Kuala Muda,2019-01-01,0.384
Kedah,Kuala Muda,2022-01-01,0.404
Kedah,Kubang Pasu,2019-01-01,0.361
Kedah,Kubang Pasu,2022-01-01,0.325
Kedah,Kulim,2019-01-01,0.331
Kedah,Kulim,2022-01-01,0.358
Kedah,Langkawi,2019-01-01,0.276
Kedah,Langkawi,2022-01-01,0.302
Kedah,Padang Terap,2019-01-01,0.307
Kedah,Padang Terap,2022-01-01,0.323
Kedah,Pendang,2019-01-01,0.312
Kedah,Pendang,2022-01-01,0.349
Kedah,Pokok Sena,2019-01-01,0.303
Kedah,Pokok Sena,2022-01-01,0.31
Kedah,Sik,2019-01-01,0.32
Kedah,Sik,2022-01-01,0.333
Kedah,Yan,2019-01-01,0.369
Kedah,Yan,2022-01-01,0.291
Kelantan,Bachok,2019-01-01,0.361
Kelantan,Bachok,2022-01-01,0.374
Kelantan,Gua Musang,2019-01-01,0.367
Kelantan,Gua Musang,2022-01-01,0.36
Kelantan,Jeli,2019-01-01,0.328
Kelantan,Jeli,2022-01-01,0.35
Kelantan,Kecil Lojing,2019-01-01,0.233
Kelantan,Kecil Lojing,2022-01-01,0.365
Kelantan,Kota Bharu,2019-01-01,0.381
Kelantan,Kota Bharu,2022-01-01,0.384
Kelantan,Kuala Krai,2019-01-01,0.382
Kelantan,Kuala Krai,2022-01-01,0.399
Kelantan,Machang,2019-01-01,0.352
Kelantan,Machang,2022-01-01,0.414
Kelantan,Pasir Mas,2019-01-01,0.381
Kelantan,Pasir Mas,2022-01-01,0.362
Kelantan,Pasir Puteh,2019-01-01,0.386
Kelantan,Pasir Puteh,2022-01-01,0.378
Kelantan,Tanah Merah,2019-01-01,0.346
Kelantan,Tanah Merah,2022-01-01,0.377
Kelantan,Tumpat,2019-01-01,0.374
Kelantan,Tumpat,2022-01-01,0.367
Melaka,Alor Gajah,2019-01-01,0.356
Melaka,Alor Gajah,2022-01-01,0.343
Melaka,Jasin,2019-01-01,0.386
Melaka,Jasin,2022-01-01,0.332
Melaka,Melaka Tengah,2019-01-01,0.389
Melaka,Melaka Tengah,2022-01-01,0.383
Negeri Sembilan,Jelebu,2019-01-01,0.379
Negeri Sembilan,Jelebu,2022-01-01,0.326
Negeri Sembilan,Jempol,2019-01-01,0.344
Negeri Sembilan,Jempol,2022-01-01,0.331
Negeri Sembilan,Kuala Pilah,2019-01-01,0.366
Negeri Sembilan,Kuala Pilah,2022-01-01,0.346
Negeri Sembilan,Port Dickson,2019-01-01,0.378
Negeri Sembilan,Port Dickson,2022-01-01,0.345
Negeri Sembilan,Rembau,2019-01-01,0.362
Negeri Sembilan,Rembau,2022-01-01,0.344
Negeri Sembilan,Seremban,2019-01-01,0.386
Negeri Sembilan,Seremban,2022-01-01,0.354
Negeri Sembilan,Tampin,2019-01-01,0.386
Negeri Sembilan,Tampin,2022-01-01,0.347
